77,FALSE,10155,Lenkon,FSI,HAUHAU,AV,LB,CS,44,,0,P,10/25/2016,21717,-119,-3324,0,0,1/1/1990,,,,$0.73 ,12/5/2003,3/21/2016,11/23/1999
78,FALSE,10156,Logan,,,SF,LB,CS,44,,0,P,,0,0,0,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
79,FALSE,10159,Nappa Paper Carton,FSI,,SVF,LB,CS,40,,0,P,11/4/2016,14244,-8252,23627,0,0,1/1/1990,,,,$0.32 ,5/27/2016,6/1/2016,11/23/1999
80,FALSE,10160,Lobac (chinese Radish),FSI,HAUHAU,SVSU,LB,CS,40,,0,P,11/4/2016,4758,-1971,-6195,0,0,1/1/1990,,,,$0.43 ,10/4/2016,9/10/2016,11/23/1999
81,FALSE,10163,Nappa  (florida),CHOFAR,,SVW,LB,CS,50,,0,P,3/26/2010,1578,123,-250,0,0,1/1/1990,,,,$0.34 ,3/25/2002,3/23/2006,11/23/1999
82,FALSE,10164,Nappa  50 Lb Carton),CHOFAR,SASFAR,SVSU,LB,CS,50,,0,P,3/21/2011,-57711,-4738,-7114,0,0,1/1/1990,,,,$0.45 ,2/7/2011,7/6/2015,11/23/1999
83,FALSE,10165,Long Beans,FSI,HAUHAU,AV,LB,CS,30,,0,P,11/5/2016,11728,-558,-886,0,0,1/1/1990,,,,$2.00 ,9/16/2016,4/15/2011,11/23/1999
84,FALSE,10166,Nappa Wga,FCBLOX,PACRIM,V,LB,CS,65,,0,P,3/28/2016,-40380,-461,-35,0,0,1/1/1990,,,,$0.45 ,4/26/2014,4/15/2011,11/23/1999
85,FALSE,10167,Nappa (texas),FCBLOX,PACRIM,SVW,LB,CS,40,,0,P,3/29/2004,3042,359,270,0,0,1/1/1990,,,,$0.49 ,4/16/2001,4/15/2011,11/23/1999
86,FALSE,10168,Nappa (hawaii),CITPRO,FCBLOX,SVW,LB,CS,40,,0,P,,0,0,0,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
87,FALSE,10169,Nappa Sm. Cardboard Bx.,DRABER,COABRO,SVW,LB,CS,35,,0,P,7/11/2011,5214,304,-724,0,0,1/1/1990,,,,,,7/18/2011,11/23/1999
88,FALSE,10170,Chinese Eggplant,FSI,PACRIM,AV,LB,CS,30,,0,P,11/5/2016,-549003,7763,385604,0,0,1/1/1990,,,,$0.43 ,9/14/2016,3/5/2013,11/23/1999
89,FALSE,10171,Japanese Eggplant,FSI,,AV,LB,CS,25,,0,P,11/5/2016,30478,-1497,-128,0,0,1/1/1990,,,,$2.00 ,10/8/2015,8/2/2016,11/23/1999
90,FALSE,10172,Italian Eggplant,PACRIM,COABRO,SV,LB,CS,20,,0,P,4/6/2015,97,23,63,0,0,1/1/1990,,,,,,4/15/2011,11/23/1999
91,FALSE,10175,Nira ( Garlic Chives),FSI,HAUHAU,AV,LB,LB,1,,0,P,11/2/2016,-6953,-547,8862,0,0,1/1/1990,,,,$2.00 ,12/16/2005,4/15/2011,11/23/1999
92,FALSE,10176,Ngor Gai,PACRIM,HAUHAU,AV,LB,LB,1,,0,P,11/5/2016,-958,117,1182,0,0,1/1/1990,,,,$0.70 ,11/28/2003,10/8/2016,11/23/1999
93,FALSE,10177,Ngor Ohm,ASIDIS,,AV,LB,CS,10,,0,P,,0,0,0,0,0,1/1/1990,,,,$0.38 ,9/16/2002,4/15/2011,11/23/1999
94,FALSE,10179,Ohba (perilla Leaf),FSI,,AV,BU,TR,10,,0,P,11/5/2016,-8901,-5136,8014,0,0,1/1/1990,,,,$1.29 ,12/15/2003,4/15/2011,11/23/1999
95,FALSE,10178,Green Papaya,FSI,HAUHAU,AF,LB,CS,35,,0,P,11/4/2016,29347,-3708,14095,0,0,1/1/1990,,,,$0.70 ,8/1/2014,7/13/2016,11/23/1999
96,FALSE,10180,Ongchoy (swamp Cabbage),PACRIM,FSI,AV,LB,LB,1,,0,P,11/3/2016,589,-20,4422,0,0,1/1/1990,,,,$1.40 ,9/1/2015,12/28/2015,11/23/1999
97,FALSE,10185,Opo,FSI,PACRIM,AV,LB,CS,40,,0,P,8/12/2016,17116,33,-1888,0,0,1/1/1990,,,,$0.60 ,10/25/2003,2/7/2004,11/23/1999
98,FALSE,10186,Ume (japanese Plum),JAPCAL,FSI,AF,LB,LB,1,,0,P,5/29/2015,-76,21,98,0,0,1/1/1990,,,,$5.40 ,6/3/2002,4/15/2011,11/23/1999
99,FALSE,10187,Rakkyo,JAPCAL,,S,LB,CS,10,,0,P,,0,21,1,0,0,1/1/1990,,,,$3.00 ,7/26/2000,4/15/2011,11/23/1999
100,FALSE,10188,Lemon Leaf,,,S,LB,CS,20,,0,P,,0,0,0,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
101,FALSE,10190,Shanghai Bokchoy -cal.,HAUHAU,FSI,AV,LB,CS,30,,0,P,11/5/2016,-346237,2585,207436,0,0,1/1/1990,,,,$0.73 ,11/6/2015,11/3/2015,11/23/1999
102,FALSE,10192,Shishito - Jpn. Chili,FSI,,S,LB,LB,1,,0,P,11/5/2016,236,-123,590,0,0,1/1/1990,,,,$5.00 ,4/22/2016,4/15/2011,11/23/1999
103,FALSE,10195,Sugar Pea Vine (daemue),FSI,ASIDIS,AV,LB,LB,1,,0,P,11/3/2016,1470,126,1154,0,0,1/1/1990,,,,$3.60 ,9/6/2012,4/15/2011,11/23/1999
104,FALSE,10200,90811,FSI,UWAJIM,SVF,LB,CS,30,,0,P,10/19/2016,356,-137,-842,0,0,1/1/1990,,,,$1.25 ,1/30/2015,11/3/2016,11/23/1999
105,FALSE,10201,Taro Root,FSI,HAUHAU,AV,LB,LB,1,,0,P,11/4/2016,-15849,-353,1485,0,0,1/1/1990,,,,$1.00 ,3/1/2013,11/14/2013,11/23/1999
107,FALSE,10207,Tololo,FSI,HOSBRO,AV,LB,CS,22,,0,P,11/4/2016,-546,228,490,0,0,1/1/1990,,,,$4.00 ,4/6/2013,2/8/2014,11/23/1999
108,FALSE,10210,Yuchoy,FSI,HAUHAU,AV,LB,CS,30,,0,P,11/5/2016,3064,-2385,590,0,0,1/1/1990,,,,$0.93 ,6/13/2012,4/15/2011,11/23/1999
109,FALSE,10211,Waterchestnut,FSI,,SVW,LB,CS,44,,0,P,6/26/2015,429,12,5,0,0,1/1/1990,,,,,,6/3/2015,11/23/1999
110,FALSE,10215,Wintermelon (donqua),FSI,ASIDIS,AV,LB,LB,1,,0,P,11/1/2016,-6108,-5098,-542,0,0,1/1/1990,,,,$0.95 ,12/5/2013,7/7/2012,11/23/1999
111,FALSE,10220,Mizuna,UWAJIM,FSI,SVW,BU,CS,24,,0,P,9/6/2016,1259,141,708,0,0,1/1/1990,,,,$1.00 ,8/13/2003,7/7/2012,11/23/1999
112,FALSE,10225,Pandan Leaves,FSI,ASIDIS,AV,LB,LB,1,,0,P,11/4/2016,-176,308,1863,0,0,1/1/1990,,,,$4.50 ,8/27/2013,4/15/2011,11/23/1999
113,FALSE,10226,Shingiku ( Tung Ho ),FSI,HJFARM,AV,EA,CS,24,,0,P,10/18/2016,6033,422,954,0,0,1/1/1990,,,,$1.50 ,6/11/2003,9/11/2015,11/23/1999
114,FALSE,10227,Mitsuba,FSI,,AV,BU,BU,1,,0,P,11/5/2016,-845,-365,1388,0,0,1/1/1990,,,,$1.00 ,12/13/2003,4/15/2011,11/23/1999
115,FALSE,10230,Trau Leaf,ASIDIS,,AV,LB,CS,10,,0,P,1/3/2012,0,0,10,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
117,FALSE,20105,Asparagus (pyramid),FCBLOX,COABRO,SVS,LB,CS,28,,0,P,6/29/2016,3340,1885,4223,0,0,1/1/1990,,,,$2.23 ,2/17/2015,4/15/2011,11/23/1999
118,FALSE,20106,Asparagus Tips,FCBLOX,CHAPRO,SVS,LB,CS,15,,0,P,,-10,0,120,0,0,1/1/1990,,,,$1.62 ,7/6/2000,11/23/1999,11/23/1999
119,FALSE,20110,Asparagus Consumer Pack,FCBLOX,BREFRU,SVS,LB,CS,20,,0,P,5/24/2016,-10211,-3972,-20,0,0,1/1/1990,,,,$1.36 ,5/12/2003,4/15/2011,11/23/1999
120,FALSE,20113,Asparagus 11# - Std,FCBLOX,CHAPRO,SVS,LB,CS,11,,0,P,11/4/2016,-57365,-9658,,2,0,1/1/1990,,,,$2.91 ,1/28/2016,1/10/2013,11/23/1999
121,FALSE,20114,Asparagus 15# Carton,FCBLOX,COABRO,V,LB,CS,15,,0,P,,-34,0,0,0,0,1/1/1990,,,,$1.20 ,4/27/2000,11/23/1999,11/23/1999
122,FALSE,20116,Artichoke,CHAPRO,SOUPRO,S,EA,CS,24,,0,P,11/2/2016,9258,-11,2595,1,0,1/1/1990,,,,$1.75 ,6/2/2004,5/24/2016,11/23/1999
123,FALSE,20117,Baby Artichoke,CHAPRO,,S,LB,CS,20,,0,P,3/28/2013,497,-35,-388,0,0,1/1/1990,,,,$0.25 ,10/18/2003,4/15/2011,11/23/1999
124,TRUE,20120,Green Beans Blue Lake,HAUHAU,PACRIM,V,LB,CS,30,,0,P,11/3/2016,-974231,460,664125,0,0,1/1/1990,,,,$1.15 ,10/12/2016,5/15/2015,11/23/1999
125,FALSE,20121,Green Beans -  15 Lb,MOSBRO,PACRIM,SVSU,LB,CS,15,,0,P,10/28/2016,-219694,-6985,141950,0,0,1/1/1990,,,,$0.67 ,9/9/2004,4/15/2011,11/23/1999
126,FALSE,20122,Yellow Waxed Beans,CHAPRO,ROSELL,S,LB,CS,15,,0,P,12/7/2007,256,65,32,0,0,1/1/1990,,,,$0.14 ,9/11/2003,4/15/2011,11/23/1999
127,FALSE,20123,French Green Beans,PACRIM,CHAPRO,SV,LB,CS,10,,0,P,10/31/2014,105,31,337,0,0,1/1/1990,,,,$3.32 ,3/13/2003,4/15/2011,11/23/1999
128,FALSE,20124,Banana Squash,PACRIM,CHAPRO,PO,CS,LB,1,,0,P,6/4/2004,-1,21,-8,0,0,1/1/1990,,,,$18.75 ,4/15/2000,6/5/2004,11/23/1999
129,FALSE,20125,Green Beans-local Lrg Box,LEEPRO,CHAPRO,SVW,LB,CS,25,,0,P,,-12,42,1375,0,0,1/1/1990,,,,,,8/15/2008,11/23/1999
130,FALSE,20130,Broccoli 14ct.,CHAPRO,FCBLOX,V,BU,CS,14,,0,P,12/24/2015,-802,150,-1162,0,0,1/1/1990,,,,$0.96 ,12/4/2014,4/15/2011,11/23/1999
131,FALSE,20132,Beefsteak Tomato,PACRIM,FCBLOX,T,LB,CS,22,,0,P,11/19/2010,122,56,-88,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
132,FALSE,20133,Brussels Sprouts,CHAPRO,ROSELL,SVF,LB,CS,25,,0,P,11/3/2016,7780,-981,4547,0,0,1/1/1990,,,,$1.21 ,10/28/2016,3/16/2013,11/23/1999
133,FALSE,20134,Broccoli Crowns (asian Cut),FCBLOX,HAUHAU,V,LB,CS,20,,0,P,11/5/2016,-4292511,-62798,2073765,0,0,1/1/1990,,,,$0.65 ,6/16/2016,4/15/2011,11/23/1999
134,FALSE,20135, Carrot-jumbo,FCBLOX,DRABER,V,LB,SX,25,,,P,11/3/2016,-3628544,-31116,1759649,0,0,1/1/1990,,,,$0.39 ,9/23/2016,4/15/2011,11/23/1999
135,FALSE,20136,Carrot-medium,FCBLOX,COABRO,V,LB,SX,25,,0,P,3/3/2008,1510,126,2,0,0,1/1/1990,,,,$0.30 ,9/30/2003,4/15/2011,11/23/1999
136,FALSE,20137,Carrot Jumbo 50#,FCBLOX,COABRO,V,LB,SX,50,,0,P,2/25/2008,1813,70,33,0,0,1/1/1990,,,,$0.11 ,4/28/2003,4/15/2011,11/23/1999
140,FALSE,20138,Broccoflower,FCBLOX,CHAPRO,V,EA,CS,12,,0,P,10/10/2013,1892,-26,-339,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
141,FALSE,20139,Organic Carrot 25#,CHAPRO,SOUPRO,OV,LB,SX,25,,0,P,10/24/2016,2516,41,140,0,0,1/1/1990,,,,$0.62 ,8/5/2013,4/15/2011,11/23/1999
142,FALSE,20140,Carrot  Cliptop,FCBLOX,COABRO,V,LB,CS,50,,0,P,10/20/2016,-1676,2316,492,0,0,1/1/1990,,,,$0.46 ,12/17/2014,4/15/2011,11/23/1999
143,FALSE,20141,Cauliflower 12 Count,FCBLOX,COABRO,V,EA,CS,12,,0,P,8/30/2016,-26247,28,-1573,0,0,1/1/1990,,,,$1.15 ,4/23/2016,4/15/2011,11/23/1999
144,FALSE,20142,Cello Carrot,CHAPRO,COABRO,V,EA,CS,50,,0,P,4/15/2003,-4,16,1,0,0,1/1/1990,,,,$0.24 ,11/5/2001,4/15/2011,11/23/1999
145,FALSE,20143,Organic Carrot #2,CHAPRO,ROSELL,OV,LB,SX,50,,0,P,,-34,54,500,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
146,FALSE,20144,Jumbo Mushroom,OSTFAR,MONMUS,V,LB,CS,10,,0,P,,0,0,0,0,0,1/1/1990,,,,$1.90 ,1/30/2003,11/23/1999,11/23/1999
147,FALSE,20145,Cauliflower 16 Count,FCBLOX,COABRO,V,HD,CS,16,,0,P,11/3/2016,943,-191,7424,0,0,1/1/1990,,,,$1.05 ,9/20/2016,11/24/2000,11/23/1999
148,FALSE,20146,Orange Pepper,CHAPRO,SOUPRO,P,LB,LB,1,,0,P,9/20/2016,-68,32,17,0,0,1/1/1990,,,,$2.85 ,10/2/2003,4/15/2011,11/23/1999
149,FALSE,20150, Celery 18 Count,FCBLOX,PACRIM,V,STK,CS,18,,0,P,11/4/2016,-478402,-11151,185592,0,0,1/1/1990,,,,$0.78 ,7/29/2016,4/15/2011,11/23/1999
150,FALSE,20155,Celery 24 Ct,FCBLOX,,V,STK,CS,24,,0,P,2/29/2016,8659,-767,10379,0,0,1/1/1990,,,,$0.81 ,2/23/2016,4/15/2011,11/23/1999
151,FALSE,20156,Chantrelle Mushroom,CHAPRO,,S,LB,CS,5,,0,P,11/12/2014,261,2,265,0,0,1/1/1990,,,,$7.00 ,10/25/2014,9/1/2011,11/23/1999
152,FALSE,20157,Celery Root,CHAPRO,ROSELL,S,EA,EA,1,,0,P,4/19/2016,-136,9,151,0,0,1/1/1990,,,,$2.00 ,10/24/2013,4/15/2011,11/23/1999
153,FALSE,20159,Chinese Celery,ASIDIS,FSI,AV,LB,LB,1,,0,P,11/3/2016,-2589,-318,334,0,0,1/1/1990,,,,$1.25 ,3/25/2016,4/15/2011,11/23/1999
154,FALSE,20160,Cherry Tomato,FCBLOX,PACRIM,T,CUP,CS,12,,0,P,11/3/2016,-16529,-1456,-1596,0,0,1/1/1990,,,,$1.65 ,11/24/2015,4/15/2011,11/23/1999
155,FALSE,20161,Yellow Cherry Tomato,JOHFAM,CHAPRO,T,EA,EA,1,,0,P,10/28/2013,-11,28,2049,0,0,1/1/1990,,,,$50.46 ,7/31/2003,4/15/2011,11/23/1999
156,FALSE,20162,Corn Yellow,CHAPRO,COABRO,SVSU,EA,CS,48,EA,48,P,10/22/2016,13114,3340,23968,0,0,1/1/1990,,,,$0.48 ,5/4/2016,8/29/2015,11/23/1999
157,FALSE,20163,Corn White,CHAPRO,COABRO,V,EA,CS,48,,0,P,7/3/2013,4828,2456,2086,0,0,1/1/1990,,,,$0.20 ,9/10/2003,4/15/2011,11/23/1999
158,FALSE,20164,Cranberries,CHAPRO,ROSELL,SFF,EA,CS,24,,0,P,11/24/2015,737,44,-210,0,0,1/1/1990,,,,$1.74 ,11/22/2013,4/15/2011,11/23/1999
159,FALSE,20165,Cucumber (shoebox),FCBLOX,PACRIM,V,LB,CS,20,,0,P,3/15/2011,320,55,370,0,0,1/1/1990,,,,$0.56 ,5/21/2003,4/15/2011,11/23/1999
160,FALSE,20166,Indian Corn,CHAPRO,ROSELL,SVF,EA,CS,24,,0,P,11/20/2015,21,29,0,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
161,FALSE,20168,Yellow Pear Tomato,CHAPRO,JOHFAM,T,EA,CS,12,,0,P,1/31/2014,701,-19,69,0,0,1/1/1990,,,,,,4/15/2011,11/23/1999
162,FALSE,20169,Red Pear Tomato,CHAPRO,ROSELL,T,EA,CS,12,,0,P,1/9/2015,347,-38,46,0,0,1/1/1990,,,,,,4/15/2011,11/23/1999
163,FALSE,20170,Cucumber 6 Top,FCBLOX,COABRO,V,LB,CS,25,LB,0,P,11/3/2016,-1791101,-4550,772475,0,0,1/1/1990,,,,$0.72 ,1/21/2016,4/15/2011,11/23/1999
164,FALSE,20175,Cucumber-super Select,FCBLOX,COABRO,V,LB,CS,50,,0,P,6/5/2012,18203,328,-1291,0,0,1/1/1990,,,,$0.29 ,12/1/2003,4/15/2011,11/23/1999
165,FALSE,20180,Eggplant,FCBLOX,COABRO,V,LB,CS,24,,0,P,11/2/2016,-24528,538,-1437,0,0,1/1/1990,,,,$1.00 ,1/18/2016,4/15/2011,11/23/1999
166,FALSE,20185,English Cucumber 16 Count,FCBLOX,COABRO,V,EA,CS,16,,0,P,11/3/2016,-1006654,17705,685486,0,0,1/1/1990,,,,$1.06 ,2/23/2016,11/8/2013,11/23/1999
167,FALSE,20186,English Cucumber-12 Count,FCBLOX,COABRO,V,EA,CS,12,,0,P,3/12/2016,-29596,888,1439,0,0,1/1/1990,,,,$1.40 ,11/23/2011,11/8/2013,11/23/1999
168,FALSE,20187,English Cucumber-bc 18ct,FSI,PACRIM,V,LB,CS,18,,0,P,6/6/2014,-74900,-71416,-9198,0,0,1/1/1990,,,,$0.67 ,7/1/2008,4/15/2011,11/23/1999
169,FALSE,20188,English Cucumber-holland,FCBLOX,COABRO,SV,LB,CS,10,,0,P,6/28/2004,170,60,69,0,0,1/1/1990,,,,$1.90 ,12/15/2003,4/15/2011,11/23/1999
170,FALSE,20190,Garlic,FCBLOX,COABRO,PO,LB,CS,30,,0,P,10/24/2016,5703,-322,3239,0,0,1/1/1990,,,,$1.58 ,3/27/2012,4/15/2011,11/23/1999
171,FALSE,20191,Garlic-local,FELCAP,MINFAR,SVS,LB,SX,50,,0,P,,0,0,0,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
172,TRUE,20192,Elephant Garlic,CHAPRO,ROSELL,S,CS,CS,1,,0,P,9/23/2016,2190,-277,-193,0,0,1/1/1990,,,,$1.76 ,12/22/2015,3/1/2016,11/23/1999
173,FALSE,20193,Garlic Extra Jumbo,CHAPRO,ROSELL,PO,LB,CS,10,,0,P,1/12/2013,188,0,2,0,0,1/1/1990,,,,$2.80 ,8/18/2003,4/15/2011,11/23/1999
174,FALSE,20200,Ginger - Usa,FCBLOX,PACRIM,PO,LB,CS,30,,0,P,1/2/2016,1685,246,976,0,0,1/1/1990,,,,$2.20 ,1/15/2015,4/15/2011,11/23/1999
175,FALSE,20201,Tumeric - Yellow Ginger,ASIDIS,FSI,AV,LB,LB,1,,0,P,6/30/2016,4400,209,-2477,0,0,1/1/1990,,,,$3.00 ,12/13/2003,5/5/2009,11/23/1999
176,FALSE,20202,Young Ginger,ASIDIS,FSI,PO,LB,CS,30,,0,P,9/25/2014,420,32,93,0,0,1/1/1990,,,,$3.17 ,9/19/2014,4/15/2011,11/23/1999
183,FALSE,20206,Spring Onion,FCBLOX,CHAPRO,S,LB,CS,10,,0,P,5/2/2013,95,36,166,0,0,1/1/1990,,,,,,3/20/2012,11/23/1999
184,FALSE,20210,Green Pepper-large,FCBLOX,COABRO,P,LB,CS,25,LB,0,P,10/28/2016,-1768754,-7617,369744,0,0,1/1/1990,,,,$0.46 ,10/6/2016,4/15/2011,11/23/1999
185,FALSE,20211,Cayanne Pepper,JOHFAM,FCBLOX,P,LB,CS,10,,0,P,,0,9,0,0,0,1/1/1990,,,,,,11/23/1999,11/23/1999
186,FALSE,20212,Green Pepper-chopper,FCBLOX,COABRO,P,LB,CS,25,,0,P,11/3/2016,32764,958,365316,0,0,1/1/1990,,,,$0.57 ,3/15/2005,4/15/2011,11/23/1999
187,FALSE,20215,Green Pepper-medium,FCBLOX,COABRO,P,LB,CS,25,,0,P,8/5/2015,31233,-15,18204,0,0,1/1/1990,,,,$0.52 ,11/24/2003,4/15/2011,11/23/1999
188,FALSE,20220,Leeks,COABRO,PACRIM,V,BU,CS,12,,0,P,10/28/2016,314,-259,1220,0,0,1/1/1990,,,,$1.29 ,5/14/2013,4/15/2011,11/23/1999
189,FALSE,20222,Horseradish,CHAPRO,ROSELL,PO,LB,LB,1,,0,P,11/2/2016,-142,-2,94,0,0,1/1/1990,,,,$4.88 ,3/31/2015,4/15/2011,11/23/1999
